c,sdat,d
0,1577,1
0,1547,0.999999999999999
0,1535,0.999999999999999
1,1594,1
1,1555,1
0,1526,1
1,1555,1
1,1533,1
1,1539,1
1,1551,1
0,1494,0.999999999999999
0,1478,0.999999999999999
1,1563,0.999999999999999
1,1530,1
1,1515,1
1,1530,1
1,1533,1
1,1532,1
1,1538,1
1,1510,1
1,1550,0.999999999999999
1,1530,1
1,1529,1
1,1527,1
1,1549,1
1,1519,1
1,1532,1
1,1500,1
1,1499,0.999999999999999
1,1499,0.999999999999999
1,1500,1
1,1487,1
1,1507,0.999999999999999
1,1486,1
0,1467,1
1,1537,0.999999999999998
1,1515,1
1,1495,0.999999999999999
1,1484,1
1,1466,0.999999999999999
1,1483,1
1,1502,0.999999999999999
1,1505,1
1,1472,1
1,1522,1
1,1498,1
0,1437,1
1,1490,1
1,1459,1
1,1490,1
0,1429,1
1,1469,1
1,1450,0.999999999999999
0,1440,1
1,1478,0.999999999999999
1,1480,1
1,1520,0.999999999999999
1,1481,0.999999999999999
1,1468,0.999999999999999
1,1485,1
1,1483,1
1,1472,1
1,1434,1
1,1454,1
1,1495,0.999999999999999
1,1424,0.999999999999999
1,1441,1
1,1418,1
0,1407,1
1,1446,1
1,1425,1
1,1453,0.999999999999999
1,1430,1
1,1425,1
1,1442,1
1,1415,1
1,1434,1
1,1411,1
1,1411,1
0,1348,1
1,1426,1
1,1426,1
1,1399,1
1,1468,0.999999999999999
0,1376,1
1,1424,0.999999999999999
1,1466,0.999999999999999
1,1417,1
1,1401,0.999999999999999
1,1430,1
1,1405,1
1,1444,1
1,1430,1
1,1447,0.999999999999999
0,1375,1
0,1345,1
1,1427,1
1,1381,0.999999999999999
1,1401,0.999999999999999
0,1372,1
1,1393,1
0,1355,1
1,1395,0.999999999999999
0,1345,1
1,1380,1
1,1398,1
1,1392,0.999999999999999
1,1373,1
1,1381,0.999999999999999
0,1363,1
1,1380,1
1,1411,1
1,1416,1
1,1408,1
1,1400,0.999999999999999
1,1362,1
1,1383,1
0,1315,1
0,1334,1
1,1384,0.999999999999999
1,1386,1
1,1395,0.999999999999999
1,1404,1
1,1389,0.999999999999999
1,1358,0.999999999999999
1,1357,1
1,1410,1
1,1354,1
1,1350,1
1,1411,1
1,1373,1
1,1357,1
0,1321,1
1,1357,1
0,1329,1
1,1355,1
1,1330,1
1,1336,1
1,1353,1
0,1313,1
1,1336,1
1,1350,1
1,1383,1
1,1328,1
0,1295,1
1,1356,1
1,1325,1
1,1363,1
1,1365,1
1,1355,1
1,1310,1
0,1269,1
1,1304,1
1,1371,1
1,1326,1
1,1352,1
1,1330,1
1,1347,1
0,1288,0.999999999999999
1,1341,1
1,1399,1
1,1314,1
1,1301,1
0,1276,1
1,1288,0.999999999999999
1,1299,1
1,1296,1
1,1341,1
1,1306,1
1,1327,1
1,1338,1
1,1284,0.999999999999999
1,1328,1
1,1301,1
1,1281,1
1,1336,1
1,1299,1
1,1317,1
1,1270,1
0,1247,1
1,1270,1
1,1272,0.999999999999999
1,1304,1
0,1240,1
1,1263,1
0,1219,1
1,1272,0.999999999999999
0,1194,1
1,1284,0.999999999999999
1,1258,1
1,1269,1
0,1226,0.999999999999999
0,1232,1
0,1218,1
1,1296,1
1,1268,1
1,1317,1
1,1274,1
0,1224,1
1,1275,1
1,1303,1
1,1236,1
1,1232,1
1,1328,1
1,1312,1
0,1205,1
1,1244,1
1,1289,1
1,1256,1
1,1261,0.999999999999999
1,1280,1
1,1232,1
0,1183,0.999999999999999
1,1230,1
1,1246,1
1,1218,1
1,1245,1
1,1256,1
1,1282,1
1,1251,1
0,1179,0.999999999999999
1,1241,1
1,1224,1
1,1238,0.999999999999999
1,1196,1
1,1221,1
1,1207,0.999999999999999
1,1262,1
1,1211,1
1,1247,1
1,1201,1
1,1220,0.999999999999999
1,1260,1
1,1222,1
1,1225,0.999999999999999
1,1159,0.999999999999998
0,1135,0.999999999999942
1,1160,0.999999999999997
0,1120,0.999999999999675
1,1163,0.999999999999998
1,1170,1
1,1157,0.999999999999996
1,1218,1
1,1146,0.999999999999985
1,1177,0.999999999999999
1,1178,0.999999999999999
1,1219,1
1,1191,1
1,1190,0.999999999999999
1,1155,0.999999999999995
1,1165,0.999999999999998
1,1161,0.999999999999998
1,1138,0.999999999999962
1,1136,0.999999999999949
1,1147,0.999999999999987
1,1152,0.999999999999991
1,1165,0.999999999999998
1,1159,0.999999999999998
1,1217,1
1,1153,0.999999999999994
1,1140,0.999999999999968
0,1091,0.999999999992159
1,1155,0.999999999999995
1,1198,1
1,1159,0.999999999999998
1,1137,0.999999999999954
1,1149,0.999999999999991
1,1121,0.999999999999704
1,1133,0.999999999999926
1,1098,0.999999999996316
1,1121,0.999999999999704
1,1151,0.999999999999992
1,1096,0.999999999995426
1,1101,0.999999999997367
1,1121,0.999999999999704
0,1056,0.999999999750445
1,1077,0.999999999967427
1,1147,0.999999999999987
1,1092,0.999999999993077
1,1087,0.999999999988489
0,1043,0.999999999161681
1,1097,0.999999999995811
1,1081,0.999999999978694
1,1134,0.999999999999933
1,1135,0.999999999999942
1,1117,0.999999999999544
1,1120,0.999999999999675
1,1072,0.999999999945614
1,1065,0.999999999891336
1,1064,0.999999999882542
1,1095,0.999999999994993
1,1046,0.999999999345621
1,1061,0.999999999844872
1,1028,0.99999999678856
1,1038,0.999999998658971
1,1048,0.999999999470165
1,1096,0.999999999995426
1,1075,0.999999999960934
1,1045,0.999999999286039
1,1082,0.999999999980713
1,1027,0.999999996463392
1,1041,0.999999998989429
1,1025,0.999999995746044
1,1018,0.999999992277043
0,1175,1
1,1003,0.999999973580997
1,1067,0.999999999913013
0,973,0.99999973210589
1,1041,0.999999998989429
1,1038,0.999999998658971
1,1007,0.999999980892874
1,982,0.999999862770893
1,1023,0.999999995050422
1,1045,0.999999999286039
1,1016,0.999999991017867
1,984,0.999999879422884
1,979,0.999999827700173
1,984,0.999999879422884
1,1052,0.99999999962392
1,1005,0.999999976974728
1,974,0.999999751098172
1,969,0.999999635017623
1,955,0.999999005849419
1,979,0.999999827700173
1,996,0.99999995370814
1,1027,0.999999996463392
1,982,0.999999862770893
1,966,0.999999553900466
1,976,0.999999782374842
1,1007,0.999999980892874
1,951,0.999998718397771
1,1011,0.999999986137495
1,994,0.999999945941168
1,929,0.999994517123647
1,1045,0.999999999286039
1,958,0.99999921064697
1,949,0.99999851337005
1,965,0.999999519198941
1,956,0.99999907844612
1,929,0.999994517123647
1,917,0.999988231585573
1,917,0.999988231585573
1,907,0.999978870610905
0,865,0.999791280742494
1,996,0.99999995370814
1,946,0.999998189199457
1,913,0.999985227666636
1,941,0.999997441590064
1,935,0.99999625474557
1,992,0.999999935678218
1,906,0.999977625824135
1,938,0.999996926096836
1,957,0.999999148594593
1,941,0.999997441590064
1,878,0.999891427563483
1,907,0.999978870610905
1,949,0.99999851337005
1,864,0.999780032085213
1,867,0.99981106157778
1,885,0.999925965325212
1,817,0.998109760037573
0,806,0.997069337946849
1,943,0.999997793812108
1,856,0.999673872749439
1,819,0.998254743927701
1,914,0.999986101630116
1,872,0.999853481153508
1,867,0.99981106157778
1,809,0.997372203110421
1,830,0.99891750705333
1,850,0.999565128942919
1,786,0.993777593354013
1,783,0.993037266227431
1,836,0.999159650862807
1,856,0.999673872749439
1,859,0.99971799759677
1,879,0.999897818338882
1,804,0.996831414476296
1,792,0.994966289254324
1,779,0.99201066222085
1,803,0.996700354375116
1,775,0.990835954731779
1,825,0.9986540694838
1,810,0.997478813940337
1,833,0.999051690555715
1,772,0.989767784456399
1,755,0.982425162692403
1,805,0.996954258481323
1,776,0.991154742307713
1,753,0.981221615325994
1,730,0.963663727139464
1,749,0.978920986547298
1,705,0.931776418317244
1,724,0.957406471173963
1,654,0.807621769924765
1,738,0.970971765647331
1,752,0.980618872744196
1,775,0.990835954731779
1,770,0.989130440787083
1,680,0.881938511191584
1,738,0.970971765647331
0,606,0.609532070333792
1,784,0.993298502116405
1,699,0.921232605286148
1,708,0.936360063307707
1,743,0.974708788583971
1,774,0.990499096130371
1,666,0.844739507667375
1,635,0.738776326198152
1,671,0.859122187084076
1,680,0.881938511191584
1,660,0.827223450709931
1,684,0.891313474585187
1,680,0.881938511191584
1,704,0.93013737510793
1,612,0.638011972528797
1,711,0.940590376473552
1,654,0.807621769924765
1,665,0.841640088783473
1,635,0.738776326198152
0,764,0.98675494583069
1,659,0.824143858725616
1,548,0.284361897933778
1,590,0.527239056849785
1,572,0.426716814657912
1,610,0.628790272657539
1,571,0.421071784983154
1,679,0.879422026421879
1,516,0.0831384827001996
1,683,0.889071399871002
1,654,0.807621769924765
1,669,0.85358918736248
1,607,0.614447070136485
0,714,0.945070509253349
1,625,0.696928623017773
1,635,0.738776326198152
1,608,0.619295507670623
1,593,0.543330739184899
1,554,0.32079270190634
1,512,0.0574964637692584
1,557,0.338505538606696
1,513,0.0639098076506446
1,557,0.338505538606696
1,562,0.368886096164221
1,559,0.35073495374758
0,651,0.79754591692688
1,542,0.246906717378737
1,475,0.177898001773729
1,542,0.246906717378737
1,556,0.332642062411826
0,594,0.54857621964704
0,579,0.467152423447262
1,415,0.528949509365556
1,475,0.177898001773729
1,469,0.215221417252767
1,483,0.127353769900044
1,401,0.600291719511877
1,464,0.246039475844497
1,522,0.121402042519727
1,471,0.202876993934142
1,457,0.289100909306547
1,452,0.318883956820732
0,522,0.121402042519727
1,411,0.549694489117704
1,451,0.324725647659506
1,416,0.523618837153973
0,491,0.0766675202932868
1,436,0.412525373647438
0,552,0.308788905476577
1,365,0.757341746628967
1,399,0.610055110424718
0,519,0.102316779686759
1,415,0.528949509365556
0,469,0.215221417252767
1,370,0.738192918436272
1,328,0.874925793186151
0,461,0.264664322733075
0,407,0.569502418698159
1,324,0.885096780039964
1,301,0.931874115584221
1,258,0.980121288889584
1,346,0.823900613021355
1,318,0.898479724237959
1,372,0.730354450580364
1,295,0.941280699121031
1,336,0.853800086162462
1,297,0.938000447846543
1,252,0.983919773117299
1,333,0.861943479285029
1,222,0.994976873680302
1,201,0.998101411866874
1,255,0.98215413128573
1,213,0.996647631092318
1,318,0.898479724237959
1,290,0.948589595817372
1,248,0.985967969249723
1,297,0.938000447846543
1,229,0.993272269435937
1,308,0.919023342247578
0,340,0.841919840688371
1,299,0.935049756242222
1,271,0.970115204625879
1,276,0.96509764088514
0,311,0.913539184033953
0,360,0.776409418535955
1,253,0.983362034688893
0,297,0.938000447846543
0,324,0.885096780039964
1,246,0.987009734096039
1,224,0.994501343479086
1,280,0.960994082283652
1,212,0.996802421387878
0,276,0.96509764088514
1,255,0.98215413128573
1,191,0.998881819971206
0,261,0.97820111358387
1,226,0.99405749408023
0,279,0.962050397361585
0,254,0.98277390614774
1,212,0.996802421387878
0,243,0.988369517745149
0,296,0.939647388395934
0,246,0.987009734096039
1,203,0.997919811601676
1,191,0.998881819971206
1,187,0.99909478371701
1,186,0.999143142424701
1,180,0.999391777219651
1,189,0.998997564419014
1,219,0.995609697357323
0,247,0.98650317312024
1,186,0.999143142424701
0,223,0.994735821178957
1,159,0.999840336980863
1,157,0.999861505364168
1,188,0.999048315864414
1,187,0.99909478371701
1,159,0.999840336980863
1,146,0.999937689494489
1,165,0.999761591526658
1,135,0.999973905953151
1,179,0.999427643294286
1,173,0.999599539444204
0,209,0.997204059972999
0,220,0.99541298055861
0,214,0.996481265724603
1,180,0.999391777219651
1,194,0.998677454860604
1,144,0.999946234178247
1,166,0.999744017956208
1,140,0.999960889929563
1,165,0.999761591526658
1,129,0.999984310525592
1,170,0.999672359538992
1,185,0.999194465840062
1,159,0.999840336980863
0,189,0.998997564419014
1,128,0.999985565863456
1,105,0.999998440327995
1,162,0.999804506883811
1,154,0.999886560577638
1,142,0.99995382303739
1,158,0.999851503054607
0,188,0.999048315864414
0,180,0.999391777219651
1,133,0.999977797022979
1,119,0.999993653605474
1,96,0.999999425806058
0,184,0.999241415290542
1,144,0.999946234178247
0,170,0.999672359538992
0,171,0.999650446639672
1,122,0.999991505091525
0,169,0.99969217754202
1,144,0.999946234178247
1,129,0.999984310525592
1,116,0.999995181707966
1,104,0.999998595977616
1,112,0.999996736556339
1,83,0.999999884027648
0,157,0.999861505364168
1,112,0.999996736556339
1,125,0.999988949860111
0,155,0.999878451944432
0,172,0.999626243522962
0,142,0.99995382303739
1,117,0.999994685950659
1,123,0.999990773829541
1,132,0.999979383965789
0,146,0.999937689494489
1,119,0.999993653605474
1,115,0.999995665730567
1,96,0.999999425806058
0,143,0.999949779369281
1,102,0.999998858345095
0,136,0.999971538205725
1,55,0.999999998402251
1,66,0.999999989821953
1,91,0.999999681797049
1,107,0.999998037942628
0,153,0.999895153313673
1,124,0.999989927594173
1,82,0.999999897186109
1,102,0.999998858345095
0,119,0.999993653605474
0,147,0.999932573491341
1,90,0.999999715099176
1,87,0.999999806055457
1,73,0.999999970725924
1,106,0.99999825594592
1,92,0.999999641428883
0,114,0.9999960801445
1,60,0.99999999610564
1,75,0.999999961019465
1,82,0.999999897186109
1,101,0.999998987309534
1,90,0.999999715099176
1,75,0.999999961019465
1,48,0.999999999563654
1,71,0.999999978115519
1,95,0.999999487047246
0,107,0.999998037942628
0,110,0.999997370718847
0,108,0.999997847923533
1,92,0.999999641428883
1,87,0.999999806055457
1,45,0.999999999759909
1,89,0.999999748553527
1,80,0.999999922232709
1,48,0.999999999563654
1,46,0.999999999711333
1,58,0.999999997289295
1,62,0.999999994683158
1,74,0.999999965623736
0,103,0.999998727119699
1,62,0.999999994683158
1,86,0.999999827287532
1,74,0.999999965623736
0,94,0.99999953791262
1,72,0.999999974845748
1,46,0.999999999711333
1,73,0.999999970725924
1,46,0.999999999711333
1,70,0.999999981021385
1,77,0.99999994806244
1,58,0.999999997289295
1,31,0.999999999990388
1,43,0.999999999844292
1,76,0.999999955256263
1,71,0.999999978115519
1,67,0.999999987971247
1,58,0.999999997289295
1,60,0.99999999610564
1,59,0.999999996775583
1,44,0.999999999807687
1,43,0.999999999844292
1,71,0.999999978115519
1,53,0.99999999888025
1,46,0.999999999711333
1,71,0.999999978115519
1,48,0.999999999563654
0,78,0.999999939959218
0,76,0.999999955256263
1,65,0.999999991371443
1,69,0.999999983908285
1,53,0.99999999888025
1,60,0.99999999610564
1,67,0.999999987971247
1,64,0.999999992579666
1,24,0.999999999998594
1,40,0.999999999918063
1,34,0.999999999979409
1,46,0.999999999711333
1,35,0.999999999974064
1,39,0.999999999934045
1,50,0.999999999361652
1,27,0.999999999996642
1,44,0.999999999807687
1,63,0.999999993651814
1,56,0.999999998080117
1,30,0.999999999992521
1,36,0.999999999967163
1,40,0.999999999918063
1,56,0.999999998080117
1,44,0.999999999807687
1,45,0.999999999759909
1,45,0.999999999759909
1,53,0.99999999888025
1,34,0.999999999979409
1,36,0.999999999967163
1,48,0.999999999563654
0,83,0.999999884027648
1,51,0.999999999223631
1,51,0.999999999223631
1,51,0.999999999223631
0,71,0.999999978115519
1,28,0.999999999995634
1,26,0.999999999997496
1,21,0.999999999999421
1,56,0.999999998080117
1,41,0.99999999989864
1,60,0.99999999610564
1,46,0.999999999711333
1,42,0.999999999871532
1,51,0.999999999223631
1,49,0.999999999477687
1,50,0.999999999361652
1,48,0.999999999563654
1,42,0.999999999871532
1,47,0.999999999644982
1,23,0.999999999998929
1,25,0.999999999998078
1,57,0.999999997681758
1,54,0.999999998646028
1,54,0.999999998646028
1,43,0.999999999844292
1,24,0.999999999998594
1,34,0.999999999979409
1,51,0.999999999223631
1,16,0.999999999999894
1,24,0.999999999998594
1,31,0.999999999990388
1,36,0.999999999967163
1,31,0.999999999990388
1,49,0.999999999477687
1,30,0.999999999992521
1,20,0.99999999999959
1,39,0.999999999934045
0,64,0.999999992579666
1,33,0.999999999984125
1,38,0.999999999948037
1,41,0.99999999989864
1,37,0.999999999957912
1,32,0.999999999987362
1,23,0.999999999998929
1,18,0.999999999999788
1,39,0.999999999934045
1,32,0.999999999987362
0,59,0.999999996775583
1,42,0.999999999871532
1,32,0.999999999987362
1,35,0.999999999974064
1,40,0.999999999918063
1,15,0.999999999999926
1,42,0.999999999871532
0,48,0.999999999563654
1,26,0.999999999997496
1,35,0.999999999974064
1,15,0.999999999999926
1,8,0.999999999999996
1,45,0.999999999759909
1,36,0.999999999967163
1,35,0.999999999974064
1,20,0.99999999999959
1,23,0.999999999998929
0,44,0.999999999807687
1,22,0.99999999999923
0,44,0.999999999807687
1,23,0.999999999998929
0,48,0.999999999563654
1,25,0.999999999998078
1,25,0.999999999998078
1,12,0.999999999999976
1,19,0.999999999999697
1,26,0.999999999997496
1,16,0.999999999999894
1,22,0.99999999999923
1,34,0.999999999979409
1,32,0.999999999987362
1,33,0.999999999984125
1,11,0.999999999999985
1,39,0.999999999934045
1,28,0.999999999995634
1,11,0.999999999999985
1,34,0.999999999979409
1,20,0.99999999999959
0,45,0.999999999759909
1,28,0.999999999995634
1,32,0.999999999987362
1,26,0.999999999997496
1,31,0.999999999990388
1,26,0.999999999997496
1,10,0.99999999999999
1,32,0.999999999987362
1,30,0.999999999992521
1,33,0.999999999984125
0,38,0.999999999948037
1,14,0.999999999999949
1,7,0.999999999999997
1,17,0.999999999999848
1,24,0.999999999998594
0,51,0.999999999223631
1,28,0.999999999995634
1,16,0.999999999999894
1,4,0.999999999999999
0,44,0.999999999807687
1,24,0.999999999998594
1,22,0.99999999999923
1,34,0.999999999979409
1,13,0.999999999999966
1,12,0.999999999999976
1,15,0.999999999999926
0,38,0.999999999948037
1,24,0.999999999998594
1,7,0.999999999999997
1,10,0.99999999999999
0,38,0.999999999948037
1,16,0.999999999999894
1,30,0.999999999992521
1,13,0.999999999999966
1,20,0.99999999999959
1,17,0.999999999999848
1,12,0.999999999999976
1,11,0.999999999999985
1,18,0.999999999999788
1,7,0.999999999999997
0,40,0.999999999918063
0,32,0.999999999987362
1,27,0.999999999996642
1,12,0.999999999999976
1,18,0.999999999999788
1,18,0.999999999999788
1,17,0.999999999999848
1,12,0.999999999999976
1,18,0.999999999999788
1,11,0.999999999999985
1,10,0.99999999999999
1,11,0.999999999999985
1,17,0.999999999999848
1,22,0.99999999999923
1,16,0.999999999999894
1,16,0.999999999999894
1,15,0.999999999999926
1,19,0.999999999999697
1,20,0.99999999999959
0,33,0.999999999984125
1,0,1
1,16,0.999999999999894
1,21,0.999999999999421
1,13,0.999999999999966
1,24,0.999999999998594
1,19,0.999999999999697
1,17,0.999999999999848
1,9,0.999999999999993
1,10,0.99999999999999
1,19,0.999999999999697
1,8,0.999999999999996
1,23,0.999999999998929
1,18,0.999999999999788
1,20,0.99999999999959
0,29,0.999999999994265
1,15,0.999999999999926
1,7,0.999999999999997
1,8,0.999999999999996
1,24,0.999999999998594
1,14,0.999999999999949
1,16,0.999999999999894
1,3,1
1,0,1
1,17,0.999999999999848
1,15,0.999999999999926
1,11,0.999999999999985
1,8,0.999999999999996
1,15,0.999999999999926
1,4,0.999999999999999
1,12,0.999999999999976
1,4,0.999999999999999
1,10,0.99999999999999
1,4,0.999999999999999
1,12,0.999999999999976
1,16,0.999999999999894
1,3,1
0,29,0.999999999994265
1,11,0.999999999999985
1,16,0.999999999999894
1,15,0.999999999999926
1,0,1
1,7,0.999999999999997
1,10,0.99999999999999
1,19,0.999999999999697
1,3,1
1,15,0.999999999999926
1,6,0.999999999999998
1,17,0.999999999999848
1,4,0.999999999999999
1,12,0.999999999999976
1,18,0.999999999999788
1,14,0.999999999999949
1,10,0.99999999999999
1,18,0.999999999999788
1,11,0.999999999999985
0,22,0.99999999999923
1,2,1
1,12,0.999999999999976
1,2,1
1,10,0.99999999999999
1,3,1
1,4,0.999999999999999
1,4,0.999999999999999
1,4,0.999999999999999
1,3,1
1,8,0.999999999999996
1,15,0.999999999999926
0,19,0.999999999999697
1,8,0.999999999999996
1,12,0.999999999999976
1,11,0.999999999999985
1,0,1
1,8,0.999999999999996
1,6,0.999999999999998
1,0,1
1,11,0.999999999999985
1,7,0.999999999999997
1,12,0.999999999999976
1,8,0.999999999999996
1,9,0.999999999999993
1,7,0.999999999999997
1,7,0.999999999999997
1,4,0.999999999999999
1,3,1
1,16,0.999999999999894
1,7,0.999999999999997
1,13,0.999999999999966
1,10,0.99999999999999
1,16,0.999999999999894
1,12,0.999999999999976
1,6,0.999999999999998
1,11,0.999999999999985
0,26,0.999999999997496
1,10,0.99999999999999
1,3,1
1,0,1
1,2,1
1,8,0.999999999999996
1,8,0.999999999999996
1,11,0.999999999999985
1,4,0.999999999999999
1,11,0.999999999999985
1,11,0.999999999999985
1,8,0.999999999999996
1,0,1
1,0,1
1,8,0.999999999999996
1,9,0.999999999999993
1,0,1
1,8,0.999999999999996
1,6,0.999999999999998
1,11,0.999999999999985
1,11,0.999999999999985
1,8,0.999999999999996
1,0,1
1,12,0.999999999999976
0,15,0.999999999999926
1,4,0.999999999999999
1,7,0.999999999999997
1,4,0.999999999999999
1,2,1
1,9,0.999999999999993
1,6,0.999999999999998
1,3,1
1,8,0.999999999999996
1,4,0.999999999999999
1,10,0.99999999999999
1,0,1
1,0,1
1,7,0.999999999999997
0,17,0.999999999999848
1,6,0.999999999999998
1,0,1
1,4,0.999999999999999
1,7,0.999999999999997
1,4,0.999999999999999
1,0,1
1,4,0.999999999999999
1,0,1
1,0,1
1,7,0.999999999999997
1,11,0.999999999999985
1,7,0.999999999999997
1,9,0.999999999999993
1,8,0.999999999999996
1,0,1
1,0,1
1,0,1
1,6,0.999999999999998
0,10,0.99999999999999
1,3,1
1,6,0.999999999999998
1,4,0.999999999999999
0,8,0.999999999999996
1,4,0.999999999999999
0,9,0.999999999999993
1,5,0.999999999999999
1,3,1
0,7,0.999999999999997
1,4,0.999999999999999
1,0,1
0,6,0.999999999999998
0,7,0.999999999999997
0,0,1
